"Questionnaire","No","Question","A","B","C","D","E","Answer","Type","Difficulty","Explanation","Image"
"history_social_conditions_issues_co_drill_set_a","162","Enuresis means","Involuntary urination, especially by children at night (bed-wetting)","(Other unlisted choice)","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","163","Sleepwalking at night","Somnambulism","Sleepwalking","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","164","AN ____ is a disease that affects a large number of people within a community, population, or region. A ____ is an epidemic that’s spread over multiple countries or continents. ____ is something that belongs to a particular people or country.","EPIDEMIC; PANDEMIC; ENDEMIC","PANDEMIC; EPIDEMIC; ENDEMIC","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","165","____ is a term often used to describe emotionally charged behavior that seems excessive and out of control.","Hysteria","Hysterical","Bipolar","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","166","Is a long amnesic state in which one wanders from his home or usual surroundings and suddenly ""comes to"" in some strange place with no recollection as how he came to be here.","Fugue","Insomnia","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","167","____ are unwanted, intrusive thoughts, images, or urges that trigger intensely distressing feelings.","Obsessions","Compulsions","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","168","____ are behaviors an individual engages in to attempt to get rid of the obsessions and/or decrease distress.","Obsessions","Compulsions","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","169","To be diagnosed as having ____, a person must have an I.Q. below 70-75, i.e. significantly below average.","Mental retardation","Normal condition","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","170","Also called a reading disability","Hematoma","Dyslexia","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","171","A condition of the nervous system; sudden twitches, movements, or sounds that people do repeatedly; cannot stop their body from doing these things.","Tic","Toe","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","172","The action of setting fire to oneself, especially as a form of protest or sacrifice.","Pyromania","Self-immolation","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","173","____ is a type of impulse control disorder that is characterized by being unable to resist starting fires. People with ____ know that setting fires is harmful. But setting fires is the only way they can relieve their built-up tension, anxiety, or arousal.","Pyromania","Self-immolation","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","174","____ is an eating disorder in which people compulsively eat one or more nonfood items, such as ice, clay, paper, ash, or dirt. Pagophagia is a subtype of it.","Pica","Binge eating","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","175","____ is a process of social, psychological, and cultural change that stems from the balancing of two cultures while adapting to the prevailing culture of the society.","Acculturation","Enculturation","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","176","The gradual acquisition of the characteristics and norms of a culture or group by a person, another culture, etc.","Acculturation","Enculturation","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","177","The persons, groups, or institutions that teach us what we need to know in order to participate in society.","Agents of change","Agents of socialization","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","178","____ is a form of government and a political system that prohibits all opposition parties, outlaws individual and group opposition to the state and its claims, and exercises an extremely high degree of control and regulation over public and private life.","Totalitarianism","Utilitarianism","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","179","____ is an ethical theory that determines right from wrong by focusing on outcomes. It is a form of consequentialism. ____ holds that the most ethical choice is the one that will produce the greatest good for the greatest number.","Totalitarianism","Utilitarianism","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","180","____ (""apartness"" in the language of Afrikaans) was a system of legislation that upheld segregationist policies against non-white citizens of South Africa.","Apartheid","Space","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","181","____ is a term describing any relationship or interaction between two dissimilar organisms.","Symbiosis","Clash","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","182","An ____ is a geographic area where plants, animals, and other organisms, as well as weather and landscape, work together to form a bubble of life.","Ecology","Ecosystem","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","183","____ is defined as the psychology rooted on the experience, ideas, and cultural orientation of the Filipinos. It is regulated by the Pambansang Samahan sa Sikolohiyang Pilipino, (National Organization of Filipino Psychology), in English, which was established on 1975 by Virgilio Enriquez, regarded by many as the Father of Filipino Psychology.","Filipino psychology","Filipino psychopathology","","","","A","mcq","","",""
