"SKU","Questionnaire","No","Question","Choices","Answer","Type","Difficulty","Free","Explanation","Image"
"Q-000166","HSCICD-A","166","Is a long amnesic state in which one wanders from his home or usual surroundings and suddenly ""comes to"" in some strange place with no recollection as how he came to be here.","A. Fugue
B. Insomnia","A","mcq","","","",""
"Q-000167","HSCICD-A","167","____ are unwanted, intrusive thoughts, images, or urges that trigger intensely distressing feelings.","A. Obsessions
B. Compulsions","A","mcq","","","",""
"Q-000168","HSCICD-A","168","____ are behaviors an individual engages in to attempt to get rid of the obsessions and/or decrease distress.","A. Obsessions
B. Compulsions","B","mcq","","","",""
"Q-000169","HSCICD-A","169","To be diagnosed as having ____, a person must have an I.Q. below 70-75, i.e. significantly below average.","A. Mental retardation
B. Normal condition","A","mcq","","","",""
"Q-000170","HSCICD-A","170","Also called a reading disability","A. Hematoma
B. Dyslexia","B","mcq","","","",""
"Q-000171","HSCICD-A","171","A condition of the nervous system; sudden twitches, movements, or sounds that people do repeatedly; cannot stop their body from doing these things.","A. Tic
B. Toe","A","mcq","","","",""
"Q-000172","HSCICD-A","172","The action of setting fire to oneself, especially as a form of protest or sacrifice.","A. Pyromania
B. Self-immolation","B","mcq","","","",""
"Q-000173","HSCICD-A","173","____ is a type of impulse control disorder that is characterized by being unable to resist starting fires. People with ____ know that setting fires is harmful. But setting fires is the only way they can relieve their built-up tension, anxiety, or arousal.","A. Pyromania
B. Self-immolation","A","mcq","","","",""
"Q-000174","HSCICD-A","174","____ is an eating disorder in which people compulsively eat one or more nonfood items, such as ice, clay, paper, ash, or dirt. Pagophagia is a subtype of it.","A. Pica
B. Binge eating","A","mcq","","","",""
"Q-000175","HSCICD-A","175","____ is a process of social, psychological, and cultural change that stems from the balancing of two cultures while adapting to the prevailing culture of the society.","A. Acculturation
B. Enculturation","A","mcq","","","",""
"Q-000176","HSCICD-A","176","The gradual acquisition of the characteristics and norms of a culture or group by a person, another culture, etc.","A. Acculturation
B. Enculturation","B","mcq","","","",""
"Q-000177","HSCICD-A","177","The persons, groups, or institutions that teach us what we need to know in order to participate in society.","A. Agents of change
B. Agents of socialization","B","mcq","","","",""
"Q-000178","HSCICD-A","178","____ is a form of government and a political system that prohibits all opposition parties, outlaws individual and group opposition to the state and its claims, and exercises an extremely high degree of control and regulation over public and private life.","A. Totalitarianism
B. Utilitarianism","A","mcq","","","",""
"Q-000179","HSCICD-A","179","____ is an ethical theory that determines right from wrong by focusing on outcomes. It is a form of consequentialism. ____ holds that the most ethical choice is the one that will produce the greatest good for the greatest number.","A. Totalitarianism
B. Utilitarianism","B","mcq","","","",""
"Q-000180","HSCICD-A","180","____ (""apartness"" in the language of Afrikaans) was a system of legislation that upheld segregationist policies against non-white citizens of South Africa.","A. Apartheid
B. Space","A","mcq","","","",""
"Q-000181","HSCICD-A","181","____ is a term describing any relationship or interaction between two dissimilar organisms.","A. Symbiosis
B. Clash","A","mcq","","","",""
"Q-000182","HSCICD-A","182","An ____ is a geographic area where plants, animals, and other organisms, as well as weather and landscape, work together to form a bubble of life.","A. Ecology
B. Ecosystem","B","mcq","","","",""
"Q-000183","HSCICD-A","183","____ is defined as the psychology rooted on the experience, ideas, and cultural orientation of the Filipinos. It is regulated by the Pambansang Samahan sa Sikolohiyang Pilipino, (National Organization of Filipino Psychology), in English, which was established on 1975 by Virgilio Enriquez, regarded by many as the Father of Filipino Psychology.","A. Filipino psychology
B. Filipino psychopathology","A","mcq","","","",""
